Name,BSE Code,NSE Code,Industry,Current Price,Return over 1day,Market Capitalization,Sales,Profit after tax,Debt,Price to Earning,PEG Ratio,Dividend yield,Dividend Payout,Return on equity,Return on capital employed,EVtoSales,EVEBITDA,Sales growth,Sales growth 3Years,Sales growth 5Years,Profit growth,Profit growth 3Years,Profit growth 5Years,Promoter holding,Enterprise Value,Return over 6months,Price to book value,Return over 1year,Return over 3years,Return over 5years,Average return on equity 3Years,Average return on equity 5Years,Return on assets,Historical PE 3Years,Historical PE 5Years,DMA 50,DMA 200
20 Microns,533022,20MICRONS,Mining / Minerals / Metals,143.7,0.49,507.07,738.43,52.83,107.19,9.6,0.6,0.52,6.33,15.34,19.27,0.82,5.59,5.37,9.85,10.47,22.46,20.05,15.98,44.95,574.1,7.68,1.58,118.22,60.51,30.34,14.06,14.3,8.1,8.41,7.93,152.92,142
21st Cent. Mgmt.,526921,21STCENMGM,Finance & Investments,41.6,0,43.68,20.03,7.72,21,5.66,,0,0,-70.57,-57.67,-6.83,7.83,-212.4,-33.45,,138.72,12.85,,64.25,61.95,111.7,1.57,103.92,43.09,16.66,2.17,-22.35,-50.88,1.7,1.83,43.13,31.86
360 ONE,542772,360ONE,Finance & Investments,675.6,1.15,24244.76,2261.22,717.01,7901.17,33.81,2.92,2.55,373.46,21.41,13.37,15.12,20.97,16.54,10.63,3.84,7.35,48.27,11.59,17.77,31126.87,34.55,7.42,54.04,30.22,,18.04,15.32,6,26.98,28.52,678.44,593.53
3B Blackbio,532067,,Healthcare,769.6,0.58,577.82,69.24,27.81,1.34,20.78,0.42,0.32,7.22,16,19.06,8.4,12.97,11.44,28.91,21.65,19.66,49.97,49.88,38.43,519.33,-2.06,2.77,91.8,38.54,59.1,44.48,42.57,12.77,13.11,10.69,795.25,703.62
3i Infotech,532628,3IINFOLTD,Computers - Software - Medium / Small,39.5,0.25,668.46,807.3,-40.3,103.62,,,0,0,0.45,2.59,0.97,55.47,13.02,1.45,-5.96,-245.33,-64.54,-46.76,0,706.15,-2.35,1.57,46.84,75.16,59.3,-0.88,4.49,0.31,99.78,8.57,46.6,43.92
3M India,523395,3MINDIA,Diversified - Large,31193.35,-0.9,35154.91,3880.51,498.31,23.8,70.55,11.74,0.32,230.2,18.75,25.29,9.21,46.95,7.91,10.53,7.87,25.06,23.84,6.01,75,34374.85,-1.93,16.85,35.07,1.62,5.16,12.33,13.2,13.48,81.74,81.2,31290.53,30221.99
3P Land Hold.,516092,3PLAND,Finance & Investments,27,-4.93,48.6,3.14,1.72,0,28.26,0.32,0,0,2.32,3.07,19.26,20.39,26.1,10.85,57.5,14.67,-6.76,88.82,73.3,48.54,12.73,0.57,32.03,47.58,19.24,1.58,2.1,2.27,26.72,25.07,31.35,27.86
5Paisa Capital,540776,5PAISA,Finance & Investments,505.05,3.01,1575.3,372.3,63.08,280.3,24.97,0.83,0,0,10.6,12.42,0.64,1.88,10.94,46.19,76.67,87.96,95.88,30.06,32.84,217.87,14.55,3.14,83.69,26.03,28.38,8.83,4.7,2.68,58.21,61.32,538.87,490.82
63 Moons Tech.,526881,63MOONS,Computers - Software - Medium / Small,381.6,0,1758.36,546.17,197.3,5.52,8.91,,0.52,-56.53,-1.43,1.99,2.24,1.95,147.39,11.07,-2.08,5389.59,4.82,,45.63,649,36.14,0.54,118.37,76.46,36.31,-1.08,-1.2,-2.13,16.99,32.57,433.4,367.72
7NR Retail Ltd,540615,,Trading,4.99,-2.35,13.98,21,-1.09,3.27,,,0,0,1.18,1.76,0.36,-23.93,-57.41,59.1,36.45,-251.39,29.7,24.57,11.57,16.99,-4.04,0.48,-13.97,3.81,-31.27,1.22,1.32,0.69,71.65,113.33,6,6.53
